trigger_name;schedule_name;cron;job_name;estado;nota;actualizado
sdlf-bigdata-sp-campanas-por-cliente-diario-glue-trigger;sdlf-bigdata-sp-campanas-por-cliente-diario-glue-schedule;cron(00 16 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-base-estudio-onboarding-glue-trigger;sdlf-bigdata-sp-clts-base-estudio-onboarding-glue-schedule;cron(50 16 ? * MON,TUE,WED,THU,FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-bases-cumpleaños-puntos-glue-trigger;sdlf-bigdata-sp-clts-bases-cumpleaños-puntos-glue-schedule;cron(00 14 1 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-billeteras-enrolamientos-stock-glue-trigger;sdlf-bigdata-sp-clts-billeteras-enrolamientos-stock-glue-schedule;cron(10 4 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-cactivos-kpi-compras-glue-trigger;sdlf-bigdata-sp-clts-cactivos-kpi-compras-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-cactivos-kpi-loyalty-glue-trigger;sdlf-bigdata-sp-clts-cactivos-kpi-loyalty-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-cactivos-kpi-ppff-glue-trigger;sdlf-bigdata-sp-clts-cactivos-kpi-ppff-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-cargos-pat-glue-trigger;sdlf-bigdata-sp-clts-cargos-pat-glue-schedule;cron(15 10,18 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 12:33:44
sdlf-bigdata-sp-clts-estrategias-evaluar-vencimientos-glue-trigger;sdlf-bigdata-sp-clts-estrategias-evaluar-vencimientos-glue-schedule;cron(00 15 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-matriz-rentabilidad-corp-mujeres-c1c2c3-glue-trigger;sdlf-bigdata-sp-clts-matriz-rentabilidad-corp-mujeres-c1c2c3-glue-schedule;cron(10 4 5 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
